Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Cracklosis,Lower Measles Wall > Measles Walls > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/106605434/cracklosis,2.4,-1,Trad,5.4,1,50,43.53814,-73.95876
Sharp Bridge,Sharp Bridge Campground > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/108219987/sharp-bridge,2.4,-1,Trad,5.8,1,80,44.04296,-73.67425
Frack,Sleeping Beauty Mountain > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/107219302/frack,2.4,-1,Trad,5.8,1,90,43.5518,-73.54954
Jake's Corner,Twin Falls Cliff > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/107368172/jakes-corner,2.4,-1,Trad,5.7,1,80,44.33737,-75.02798
Contos,Sunshine City > Spanky's Area > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106874181/contos,2.1,-1,Trad,5.4,1,80,44.127,-73.7236
Just Can't Get Enough,Mud Pond > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/119534077/just-cant-get-enough,2.5,-1,Sport,5.10a,1,65,44.51125,-73.83192
Wandering Lunatic,Lower Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/105966655/wandering-lunatic,2.2,-1,Sport,5.10c/d PG13,1,90,44.14472,-73.75802
The Cross,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/114543899/the-cross,2.5,-1,Trad,5.8,1,60,43.9051,-75.1959
Slumlord,Main Cliff > Shanty Cliff > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/115190571/slumlord,2.5,-1,Trad,5.10a,1,70,43.53608,-74.15106
Bunny Slope,Potash Cliff > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/109101023/bunny-slope,2.5,-1,Trad,5.8,1,40,43.3751,-73.82928
Swampoodle,Shanty Sports Arena > Shanty Cliff > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107627509/swampoodle,2.0,-1,Sport,5.8,1,40,43.53402,-74.14945
Blueberry Jam,Upper South Corner Cliffs > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/108728709/blueberry-jam,2.5,-1,Trad,5.9,1,70,43.5378,-73.9677
Sauron's Bolt of Horror,TeePee Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107564374/saurons-bolt-of-horror,2.5,-1,Trad,5.10c,1,50,43.5378,-73.9677
Diagonal Chockstone Chimney,Lower Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/108012039/diagonal-chockstone-chimney,2.1,-1,Trad,5.4,2,140,44.14472,-73.75802
Breeze Crack,Owls Head Mountain > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/109108051/breeze-crack,2.1,-1,Trad,5.7,1,80,44.24788,-73.82303
Diamondback,The Creature Wall > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/107653675/diamondback,2.1,-1,Trad,5.8,1,90,44.1411,-73.74312
Redrum,Lower Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/111951481/redrum,1.8,-1,Trad,5.5,2,110,44.14472,-73.75802
Detoxification,Lower Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/107215819/detoxification,2.2,-1,"Trad, TR",5.8 R,1,90,44.14472,-73.75802
A Peney for your freedom,TeePee Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/106869053/a-peney-for-your-freedom,2.2,-1,Trad,5.8,1,50,43.5378,-73.9677
Snake Slide,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106447524/snake-slide,2.3,-1,Trad,5.8,1,50,44.40783,-73.50371
Soft Maple Times,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/107605351/soft-maple-times,2.4,-1,Trad,5.6,1,60,43.9051,-75.1959
Bond Girls,Martini Wall > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/111085363/bond-girls,2.4,-1,Sport,5.10a PG13,1,,44.13836,-73.74801
"Jug, Tug, & Jam",Upper South Corner Cliffs > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/108974483/jug-tug-jam,2.3,-1,"Trad, TR",5.7+ PG13,1,60,43.5378,-73.9677
Royal Pain,The King Wall > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/116835050/royal-pain,2.3,-1,Sport,5.12a,1,50,44.13223,-73.74423
Stop Making Sense,Potter Mountain Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/109544437/stop-making-sense,2.3,-1,Trad,5.8,4,380,44.5173,-73.7984
Hang 'Em High,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106073473/hang-em-high,2.2,-1,Trad,5.11c,1,80,44.40783,-73.50371
Ricochet,Main Cliff > Deadwater > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/116832326/ricochet,2.3,-1,Trad,5.9,1,60,44.06109,-73.66381
Easy Sqeeze,Bald Mountain > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/107624219/easy-sqeeze,2.3,-1,Trad,5.3,1,120,43.73542,-74.91857
A Touch of Gray,Tanager Face > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/113463512/a-touch-of-gray,2.3,-1,Sport,5.12a,1,60,44.13715,-73.74584
Crackatoa,Stewarts Ledge > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/107608367/crackatoa,2.3,-1,"Trad, TR",5.9+ R,1,80,43.50607,-73.62633
Drag Queen,Eagle Cliff > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/107609698/drag-queen,2.3,-1,Trad,5.6,1,50,43.5108,-73.6158
Pinch an Inch,Black Arches Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107230734/pinch-an-inch,2.3,-1,Trad,5.10b R,1,70,43.5431,-73.95414
Cure Cottage,Baker Mountain > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/109090303/cure-cottage,2.3,-1,Trad,5.8,1,80,44.3343,-74.1045
In The Buff,Jewels and Gems > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106236838/in-the-buff,2.3,-1,"Trad, TR",5.9,1,,44.13591,-73.73993
Fireworks,Upper South Corner Cliffs > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/109880316/fireworks,2.3,-1,Trad,5.7,1,75,43.5378,-73.9677
Afraid of the Dark,Hurricane Crag > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/106390328/afraid-of-the-dark,1.9,-1,Trad,5.8,1,80,44.21541,-73.69944
Halitosis,Top'o'the Measles Wall > Measles Walls > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107891164/halitosis,2.3,-1,Trad,5.8- PG13,1,60,43.5378,-73.9677
Let Sleeping Bats Lie,Sunshine City > Spanky's Area > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106874186/let-sleeping-bats-lie,1.9,-1,"Trad, TR",5.4 PG13,1,90,44.127,-73.7236
Walking the Tightrope,Pitchoff Chimney Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/120986778/walking-the-tightrope,2.5,-1,Sport,5.12a/b,1,85,44.23598,-73.86449
Hydrophobia,Upper Measles Wall > Measles Walls > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/106728959/hydrophobia,1.9,-1,Trad,5.4,1,40,43.5378,-73.9677
Tourista,Ark Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/110645177/tourista,1.6,-1,Sport,5.5,1,60,43.56076,-73.5939
King Crack,Bald Mountain > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/121338518/king-crack,2.5,-1,Trad,5.9,1,80,43.73542,-74.91857
7 year itch,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/108327783/7-year-itch,2.5,-1,Trad,5.9,1,70,44.40783,-73.50371
Ceremony of Innocence,Bald Mountain > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/116770241/ceremony-of-innocence,2.5,-1,Trad,5.10c,1,100,43.73542,-74.91857
Railroad Donnie,Main Cliff > Shanty Cliff > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/119001213/railroad-donnie,2.5,-1,TR,5.10c/d,1,30,43.53608,-74.15106
CCR,Cloudspin Cliff > D: Wilmington Region > Adirondacks > New York,https://www.mountainproject.com/route/119312507/ccr,2.5,-1,Trad,5.10a/b PG13,1,90,44.34623,-73.8617
Free Soul,Big Slide Mtn. > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/115329333/free-soul,2.5,-1,Trad,5.9,1,130,44.1822,-73.8708
Emperor Zurg,Lake Pleasant Quarry > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/116955598/emperor-zurg,2.5,-1,"Trad, TR",5.9,1,35,43.46001,-74.43685
Last Chance,Poke-O Slab > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/120021020/last-chance,2.5,-1,Trad,5.7 R,5,500,44.39632,-73.50691
Last Swim Or Dive,Case Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/118022596/last-swim-or-dive,2.5,-1,Trad,5.7 PG13,1,140,44.14701,-73.76368
Grumpy Racoon,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/111145723/grumpy-racoon,2.5,-1,Trad,5.9,1,40,43.9051,-75.1959
Sheer Failure,Avalanche Mountain > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/113615701/sheer-failure,2.5,-1,"Trad, Alpine",5.10d,1,85,44.13628,-73.96915
Izi Pizi,Hooper Garnet mine > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/114372751/izi-pizi,2.5,-1,"Trad, TR",5.6,1,65,43.70905,-74.10161
Suppertime,Purple Rain Wall > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/117239183/suppertime,2.5,-1,Trad,5.9,1,50,44.51959,-73.81865
Appomattox Crack,Good Luck Mountain > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/112219969/appomattox-crack,2.5,-1,"Trad, TR",5.10a PG13,1,30,43.249,-74.557
Bella Vista to Benediction [Linkup],Bella Vista Slab > Belleview > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/110923011/bella-vista-to-benediction-linkup,2.5,-1,Trad,5.6 PG13,5,450,43.54934,-73.95144
Ladybug,Midway Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/117972674/ladybug,2.5,-1,Trad,5.10,-1,115,44.51687,-73.82156
Old Guy Shootin' Powder,Beaver Brook > D: Wilmington Region > Adirondacks > New York,https://www.mountainproject.com/route/111979337/old-guy-shootin-powder,2.5,-1,Sport,5.10b,1,80,44.36496,-73.80958
"Dewey, Cheetham and Howe",The Courthouse > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/112938043/dewey-cheetham-and-howe,2.5,-1,Trad,5.6,1,80,44.17651,-73.84421
Yam Jam,Lower Ridge > Moxham Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/111930752/yam-jam,2.5,-1,Trad,5.7 PG13,1,125,43.75373,-74.00072
O'Ryan's Belt,Right End > Starbuck Right > Starbuck Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/112102011/oryans-belt,2.5,-1,"Trad, TR",5.8,1,75,43.77338,-74.08842
Final Frontier,Barton High Cliffs > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/107571831/final-frontier,2.5,-1,Trad,5.8,3,280,43.75431,-73.59836
Road Trip,Highway Blues Slab > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/112173423/road-trip,2.5,-1,Trad,5.9,1,120,44.07487,-73.6735
The Slab,Loon Lake Mtn > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/112112483/the-slab,2.5,-1,Trad,5.6,1,200,44.55725,-74.14214
Day of Madness,Spruce Hill Crag > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/107856073/day-of-madness,2.5,-1,"Trad, TR",5.8,1,50,44.21347,-73.69824
Big Bro,State Brook > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/112004678/big-bro,2.5,-1,Trad,5.8,1,60,43.26951,-74.56834
West Crag - Starry Skies,Loon Lake Mtn > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/112112433/west-crag-starry-skies,2.5,-1,Trad,5.6,1,50,44.55725,-74.14214
Carhartt Confidentials,Carhartt Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/110933570/carhartt-confidentials,2.5,-1,Trad,5.10c PG13,1,110,43.55552,-73.60298
I'd Rather Be In Iowa,Huckleberry Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/108642190/id-rather-be-in-iowa,2.5,-1,Sport,5.8,1,60,43.78244,-74.26537
Dukes of Hazard,Otter Lake Cliff > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/107020217/dukes-of-hazard,2.5,-1,Sport,5.11+ PG13,1,35,43.1936,-74.4966
Starline,Ledge Area > Starbuck Right > Starbuck Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/109431028/starline,2.5,-1,"Trad, TR",5.10a PG13,1,60,43.77311,-74.0946
The Afternoon Matinee,Twin Falls Cliff > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/107368184/the-afternoon-matinee,2.5,-1,Trad,5.10c,1,50,44.33737,-75.02798
Pox,Lower Measles Wall > Measles Walls > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107826559/pox,2.5,-1,Sport,5.10c,1,35,43.53814,-73.95876
Pump Action,Rods'n'Guns Wall > West Ridge > West Mountain > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/107931279/pump-action,2.5,-1,Trad,5.10a,1,70,43.35897,-73.97185
El Muerte Rojo,Upper Measles Wall > Measles Walls > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/106601100/el-muerte-rojo,1.9,-1,Trad,5.6,1,50,43.5378,-73.9677
Force Nine,Typhoon Wall > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/106403951/force-nine,2.5,-1,Trad,5.9,1,60,44.21498,-73.70027
Anteater,Lower Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/111951498/anteater,2.1,-1,Trad,5.8,2,150,44.14472,-73.75802
Zig-Zag,Bald Mountain > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/107624231/zig-zag,1.9,-1,Trad,5.6,2,120,43.73542,-74.91857
Rumble Strips,Sharp Bridge Campground > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/108219954/rumble-strips,2.1,-1,Trad,5.7,1,50,44.04296,-73.67425
Roast 'n Boast,Notch Mountain > D: Wilmington Region > Adirondacks > New York,https://www.mountainproject.com/route/114808107/roast-n-boast,2.1,-1,"Trad, TR",5.6,1,70,44.33554,-73.89694
Kielbasy Posse,Diagonal Ramp Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107663460/kielbasy-posse,2.3,-1,Trad,5.10a,1,40,43.5378,-73.9677
Cujo,The Creature Wall > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/107274795/cujo,2.0,-1,"Trad, TR",5.8,1,90,44.1411,-73.74312
Kill It Before It Spreads,Diagonal Ramp Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107811623/kill-it-before-it-spreads,2.3,-1,"Trad, TR",5.7,1,40,43.5378,-73.9677
Flying Friends,Main Cliff > Shanty Cliff > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/106874826/flying-friends,2.1,-1,"Trad, TR",5.7,1,110,43.53608,-74.15106
Norman's Crack of Joy,Diagonal Ramp Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107663418/normans-crack-of-joy,2.1,-1,Trad,5.8,1,50,43.5378,-73.9677
Breadline,Main Cliff > Shanty Cliff > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107717442/breadline,2.1,-1,Sport,5.11a,1,40,43.53608,-74.15106
Sloppy Seconds,Main Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/108450013/sloppy-seconds,2.3,-1,Trad,5.6,1,50,43.5605,-73.60366
Virgin Sturgeon,Lower Washbowl Cliffs > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/117550351/virgin-sturgeon,2.3,-1,Trad,5.9,1,120,44.1445,-73.7512
Elusive Dream (pitch 1 only),The King Wall > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/105973431/elusive-dream-pitch-1-only,2.1,-1,Trad,5.10a,1,40,44.13223,-73.74423
Buzz,Lake Pleasant Quarry > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/116955534/buzz,2.3,-1,Trad,5.6,1,40,43.46001,-74.43685
Ancient of Days,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/115331749/ancient-of-days,2.3,-1,Trad,5.10b PG13,5,450,44.40783,-73.50371
Star Command,Lake Pleasant Quarry > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/116955510/star-command,2.3,-1,Trad,5.9,1,35,43.46001,-74.43685
Aquarius,Ledge Area > Starbuck Right > Starbuck Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/109431213/aquarius,2.3,-1,"Trad, TR",5.6,1,60,43.77311,-74.0946
Crazy Lace,Upper South Corner Cliffs > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/109173789/crazy-lace,2.3,-1,Trad,5.8,1,95,43.5378,-73.9677
Flashdance,Upper Washbowl Cliff > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/108149946/flashdance,2.3,-1,Trad,5.10c PG13,4,275,44.14256,-73.7438
Crimp Scampi,Otter Lake Cliff > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/107020213/crimp-scampi,2.3,-1,Sport,5.11a PG13,1,35,43.1936,-74.4966
Democralypse Now,Jackass Buttress > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/108211325/democralypse-now,2.3,-1,Trad,5.10a,1,100,43.55552,-73.60298
Ukiah,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/113466291/ukiah,2.2,-1,Sport,5.10a,1,50,44.40783,-73.50371
Spring Equinox,Hurricane Crag > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/106403918/spring-equinox,2.2,-1,Trad,5.8,3,350,44.21541,-73.69944
Peckers,Owls Head Mountain > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/110563169/peckers,2.2,-1,Trad,5.8,1,60,44.24788,-73.82303
Hooverville,Main Cliff > Shanty Cliff > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/120650535/hooverville,2.3,-1,Sport,5.10d,1,100,43.53608,-74.15106
Time Jumpers,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/118898015/time-jumpers,2.3,-1,Trad,5.10b,1,80,44.40783,-73.50371
Only the Good Die Young,The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/114615305/only-the-good-die-young,2.3,-1,Trad,5.11c,1,80,44.1454,-73.75082
Pan's Protege,Never Never Land > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/117551189/pans-protege,2.3,-1,Trad,5.8,1,85,44.5156,-73.8232
Sitting Duck,Lost Hunters > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/117755710/sitting-duck,2.2,-1,Trad,5.8,1,50,43.27049,-74.51824
Woody / Rappel Station,Lake Pleasant Quarry > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/116955691/woody-rappel-station,2.3,-1,"Trad, TR",5.7,1,35,43.46001,-74.43685
Courtney Marie's Boobies,Lost T > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/112050925/courtney-maries-boobies,2.3,-1,Trad,5.10b/c PG13,1,60,43.2608,-74.5222
"Shaken, not stirred",Martini Wall > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/111085392/shaken-not-stirred,2.2,-1,Sport,5.9,1,,44.13836,-73.74801
Pandemonium,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106873305/pandemonium,2.2,-1,Trad,5.10b,3,340,44.40783,-73.50371
I Don't Want No Scrub,Sky High Wall > Sky High > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/109651739/i-dont-want-no-scrub,2.3,-1,Trad,-5.8,1,90,43.54061,-73.95651
Scorpion Bowl,Eagle Cliff > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/107608507/scorpion-bowl,2.3,-1,Trad,5.9,1,50,43.5108,-73.6158
Scare Factory,State Brook > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/110784496/scare-factory,2.2,-1,Trad,5.9,1,90,43.26951,-74.56834
Figaro,Spruce Hill Crag > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/107806494/figaro,2.3,-1,"Trad, TR",5.7,1,50,44.21347,-73.69824
Roof Traverse,Otter Lake Cliff > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/107020154/roof-traverse,2.3,-1,Sport,5.10c,1,45,43.1936,-74.4966
Solar Grace,Sky High Wall > Sky High > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/108034730/solar-grace,2.3,-1,Trad,5.6 R,1,90,43.54061,-73.95651
Guinness,Upper Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/112108462/guinness,1.8,-1,"Trad, TR",5.5,1,40,44.14338,-73.75578
Owl Crack,Owls Head Mountain > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/108135968/owl-crack,1.8,-1,"Trad, TR",5.6 PG13,1,40,44.24788,-73.82303
Drifter,Main Cliff > Deadwater > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/107840606/drifter,1.8,-1,Trad,5.10b R,1,90,44.06109,-73.66381
Where's the Booty?,Bald Mountain > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/107624235/wheres-the-booty,1.9,-1,Trad,5.5,1,60,43.73542,-74.91857
Fawn Crack,New Buck > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/107618726/fawn-crack,2.0,-1,Trad,5.7,1,65,43.49929,-73.59952
Soup Kitchen,Main Cliff > Shanty Cliff > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107717399/soup-kitchen,2.0,-1,Sport,5.10a,1,40,43.53608,-74.15106
Giucco Piano,Belleview Slab > Belleview > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107723798/giucco-piano,1.9,-1,Trad,5.8 PG13,1,65,43.5391,-73.95986
Bird's Nest,The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106568582/birds-nest,2.0,-1,Trad,5.10d,1,40,44.1454,-73.75082
Le Jeur de Bon Heures,Bella Vista Slab > Belleview > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107962715/le-jeur-de-bon-heures,2.0,-1,Trad,5.3 PG13,4,410,43.54934,-73.95144
Old Route,Noonmark Mountain > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/112223300/old-route,2.0,-1,"Trad, Alpine",5.4,1,110,44.125,-73.78724
Timbuk-2,Ark Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/110644897/timbuk-2,2.0,-1,Sport,5.8 PG13,1,60,43.56076,-73.5939
The Tasp,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/113763097/the-tasp,2.0,-1,Trad,5.9,1,80,43.9051,-75.1959
Relayer,South Colton > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/111876532/relayer,2.0,-1,"Trad, TR",5.6,1,40,44.4873,-74.8517
Stake and Cake,Main Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/108313750/stake-and-cake,1.8,-1,Trad,5.10a,2,80,43.5605,-73.60366
Cascade Lichen Dance,Cascade Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/107862602/cascade-lichen-dance,2.0,-1,Sport,5.10a,1,150,44.2264,-73.8712
N.P.R.,South Colton > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/107123418/npr,1.8,-1,"Trad, TR",5.5,1,30,44.4873,-74.8517
The Perverted Polishman,State Brook > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/109631744/the-perverted-polishman,2.0,-1,Trad,5.8,1,70,43.26951,-74.56834
Rough Cut,Tanager Face > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/107208091/rough-cut,1.8,-1,"Trad, TR",5.9,1,80,44.13715,-73.74584
Uncle Hal's Arete,State Brook > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/109631719/uncle-hals-arete,2.0,-1,Trad,5.8 PG13,1,70,43.26951,-74.56834
Getcher Breakfast,Lower Measles Wall > Measles Walls > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107826573/getcher-breakfast,2.0,-1,Sport,5.10a,1,35,43.53814,-73.95876
Adsite Arete,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/107605402/adsite-arete,1.5,-1,Trad,5.4,1,40,43.9051,-75.1959
Wind Song,Owls Head Mountain > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/110475059/wind-song,1.9,-1,Trad,5.6,1,40,44.24788,-73.82303
Mr. Dirty,The Barkeater Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/109140449/mr-dirty,1.7,-1,Trad,5.6 PG13,1,70,44.25695,-73.8634
Vernal Imperatives,Main Cliff > Shanty Cliff > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/106876771/vernal-imperatives,1.7,-1,"Trad, TR",5.6,1,100,43.53608,-74.15106
